2015-11-14 23:52:30,Well said #newyorktimes via laviedamel #Paris #life #solidarity #liberté #égalité #fraternité @… https://t.co/psynVj4Hsu,"['newyorktimes', 'Paris', 'life', 'solidarity', 'libert\xc3\xa9', '\xc3\xa9galit\xc3\xa9', 'fraternit\xc3\xa9']","Paris, Ile-de-France,France","Paris, France"
2015-11-14 23:52:20,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,"Nimes, France "
2015-11-14 23:52:18,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,"Paris, Ile-de-France"
2015-11-14 23:51:38,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,"Paris, France"
2015-11-14 23:51:34,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,Paris.
2015-11-14 23:51:15,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,"Paris, Ile-de-France"
2015-11-14 23:51:02,"For Paris. For the world.
••••••••••••••••••••••••••••••••
4th of August, 2015
Place du Trocadéro,… https://t.co/hasWi2tfLn",[],"Paris, Ile-de-France,France",New Pretty Town | Germany
2015-11-14 23:50:58,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,
2015-11-14 23:50:52,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,Lyon / Dortmund
2015-11-14 23:50:46,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,Belgium
2015-11-14 23:50:37,"Detail of the #painting ""Triptych of the Resurrection""
By artist Hans Memling (also spelled Memlinc)… https://t.co/JvgQsmyQgY",['painting'],"Paris, Ile-de-France,France","Paris, France"
2015-11-14 23:50:29,"Prayers for all of humanity &amp; Paris 🇫🇷

#WhereIsTheLove #Paris #France #Love #Compassion… https://t.co/uuL9Qn5Qn9","['WhereIsTheLove', 'Paris', 'France', 'Love', 'Compassion']","Paris, Ile-de-France,France","Las Vegas, NV"
2015-11-14 23:50:25,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,France
2015-11-14 23:50:14,"Of course changing our facebook profile pictures isn't going to change what happened, but regardless… https://t.co/j9FxD3Tmo8",[],"Paris, Ile-de-France,France",Philippines
2015-11-14 23:49:09,"Pray for the Paris and for the world #prayforparis #paris #wolrd #peace @ Paris, France https://t.co/IWH1V6FSbg","['prayforparis', 'paris', 'wolrd', 'peace']","Paris, Ile-de-France,France",Paris-France 
2015-11-14 23:48:56,"👀 😔 

#prayforparis#picoftoday @ Parc de Saint-Cloud https://t.co/NLtCx3F9WQ",[],"Saint-Cloud, Ile-de-France,France","Garches, Ile-de-France"
2015-11-14 23:48:49,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,Nantes
2015-11-14 23:48:17,RT @krystalvayda: This breaks my fuckin' heart! RIP Nohemi. 💔💔💔 #prayforparis          #Repost presspasslatino with… https://t.co/JM9KzZGAn8,"['prayforparis', 'Repost']",NA,California
2015-11-14 23:47:56,"6 months ago I ran in this wonderful city. Don't let the bastards win #prayforparis @ Paris, France https://t.co/cOQZrV0vwU",['prayforparis'],"Paris, Ile-de-France,France","ÜT: 53.36475,-2.33928"
2015-11-14 23:47:30,"Pray For Paris France
#prayforparis#rebelhearttour #living #for #love #ghosttown #rebelheart @ Paris,… https://t.co/OfU3taQjh4","['living', 'for', 'love', 'ghosttown', 'rebelheart']","Paris, Ile-de-France,France","Çeşme, İzmir"
2015-11-14 23:47:21,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,belgique
