2015-11-21 23:28:33,FRN : FRANCE: Police release seven detained from Paris raid: FRANCE: Police release seven detained from Paris raid… https://t.co/s877Bfk4Ol,[],"Paris, Ile-de-France,France",France | Francophonie | Canada
2015-11-21 23:28:27,Just posted a photo @ Rosa Parks (Paris RER) https://t.co/TcdHz0COzU,[],"Paris, Ile-de-France,France","Paris, Ile-de-France"
2015-11-21 23:28:21,What was the city of France with the largest number of Trends on Saturday 21? https://t.co/ELfwP1jPUx #trndnl,['trndnl'],"Paris, Ile-de-France,France",France
2015-11-21 23:27:59,"RT @riainocian: In Irish, instead of saying ""I love you"", we say ""is madra í do mháthair"", which means ""I need you"" &amp; personally I think th…",[],NA,Ireland
2015-11-21 23:27:56,Just posted a photo @ Rosa Parks (Paris RER) https://t.co/BBVifaWoWF,[],"Paris, Ile-de-France,France","Paris, Ile-de-France"
2015-11-21 23:26:30,"Just posted a photo @ Paris, France https://t.co/C8FdA1pTWh",[],"Paris, Ile-de-France,France",paris
2015-11-21 23:23:56,Just posted a photo @ Temple de l'Amour https://t.co/kCArDEbLm5,[],"Versailles, Ile-de-France,France",
2015-11-21 23:23:04,"B A B Y - R O O M #home #design #deco #vsco #vscocam #homesweethome @ Nogent-sur-Marne, France https://t.co/wRHXFKxbOP","['home', 'design', 'deco', 'vsco', 'vscocam', 'homesweethome']","Nogent-sur-Marne, Ile-de-France,France",Paris
2015-11-21 23:20:53,"RT @riainocian: In Irish, instead of saying ""I love you"", we say ""is madra í do mháthair"", which means ""I need you"" &amp; personally I think th…",[],NA,Tramore/Waterford Ireland
2015-11-21 23:19:56,"The entire city is art...tiny and massive paintings, you lean in for a closer look and it's sure to… https://t.co/iUiW8Xaf7a",[],"Paris, Ile-de-France,France",ig:  @nazfilms
2015-11-21 23:18:21,Remembering. One week ago. #parisjetaime #parisremembrance @ Place de la Republique https://t.co/JDrseGDVsQ,"['parisjetaime', 'parisremembrance']","Paris, Ile-de-France,France","Rotterdam, The Netherlands"
2015-11-21 23:17:39,"RT @riainocian: In Irish, instead of saying ""I love you"", we say ""is madra í do mháthair"", which means ""I need you"" &amp; personally I think th…",[],NA,"Cork, Ireland"
2015-11-21 23:17:17,"RT @riainocian: In Irish, instead of saying ""I love you"", we say ""is madra í do mháthair"", which means ""I need you"" &amp; personally I think th…",[],NA,"Cork, Ireland "
2015-11-21 23:17:09,"Just posted a photo @ Paris, France https://t.co/XK8GEs9VXK",[],"Paris, Ile-de-France,France",insta @victoirehrndz
2015-11-21 23:15:34,"RT @riainocian: In Irish, instead of saying ""I love you"", we say ""is madra í do mháthair"", which means ""I need you"" &amp; personally I think th…",[],NA,"Cork, Ireland"
2015-11-21 23:13:37,"RT @riainocian: In Irish, instead of saying ""I love you"", we say ""is madra í do mháthair"", which means ""I need you"" &amp; personally I think th…",[],NA,"Killiney, Co. Dublin."
2015-11-21 23:13:37,#EiffelTower at night. Fluctuat nec mergitur. #paris #travelgram #🇫🇷 #🗼 @ Tour Eiffel https://t.co/DD5rlfSgVI,"['EiffelTower', 'paris', 'travelgram']","Paris, Ile-de-France,France","ÜT 43.751127,-79.458545"
2015-11-21 23:13:18,"RT @riainocian: In Irish, instead of saying ""I love you"", we say ""is madra í do mháthair"", which means ""I need you"" &amp; personally I think th…",[],NA,
2015-11-21 23:12:49,"Very #moving time in #paris, in front of the #eiffeltower @ LES OMBRES https://t.co/foRBaa8Wa8","['moving', 'paris', 'eiffeltower']","Paris, Ile-de-France,France",Paris
2015-11-21 23:10:05,"RT @riainocian: In Irish, instead of saying ""I love you"", we say ""is madra í do mháthair"", which means ""I need you"" &amp; personally I think th…",[],NA,Down cutler
2015-11-21 23:08:49,I'm at Rue Letort https://t.co/FX7axgXElC,[],"Paris, Ile-de-France,France",
2015-11-21 23:08:28,"RT @riainocian: In Irish, instead of saying ""I love you"", we say ""is madra í do mháthair"", which means ""I need you"" &amp; personally I think th…",[],NA,"Marino, Dublin"
2015-11-21 23:08:25,"RT @riainocian: In Irish, instead of saying ""I love you"", we say ""is madra í do mháthair"", which means ""I need you"" &amp; personally I think th…",[],NA,Cork
2015-11-21 23:07:16,"RT @riainocian: In Irish, instead of saying ""I love you"", we say ""is madra í do mháthair"", which means ""I need you"" &amp; personally I think th…",[],NA,
2015-11-21 23:06:58,"RT @riainocian: In Irish, instead of saying ""I love you"", we say ""is madra í do mháthair"", which means ""I need you"" &amp; personally I think th…",[],NA,cork
2015-11-21 23:04:09,"My song for Paris 🗼❤ ""Where?""
See full version on my Facebook 
#paris #parisjetaime #rip #singer @… https://t.co/j4Ni31j6Yz","['paris', 'parisjetaime', 'rip', 'singer']","Paris, Ile-de-France,France",
2015-11-21 23:03:58,"The Winged Victory of Samothrace, also called Nike of Samothrace. A stunning Greek sculpture of the… https://t.co/oCHbDqJQry",[],"Paris, Ile-de-France,France",
2015-11-21 23:03:44,Ils m'ont rodave youtube mdr https://t.co/TB4INi4hRj,[],"Issy-les-Moulineaux, Ile-de-France,France",Issy-les-Moulineaux
2015-11-21 23:02:31,"RT @InstallationMag: Invaded. #spaceinvader #paris #amoretinparis #installationmag @ Paris, France https://t.co/JKXSLuXAR2","['spaceinvader', 'paris', 'amoretinparis', 'installationmag']",NA,Boston etc.
2015-11-21 23:01:59,the weeknd,[],"Chelles, Ile-de-France,France",
2015-11-21 23:01:11,"RT @riainocian: In Irish, instead of saying ""I love you"", we say ""is madra í do mháthair"", which means ""I need you"" &amp; personally I think th…",[],NA,"Dublin, Ireland"
2015-11-21 23:00:13,Welcome to the jungle bitches. 🍃🍃 #French #Malian #Mixed #Club #Night #VIPROOM #Paris #InstaSize @… https://t.co/8Jm5dJzDPJ,"['French', 'Malian', 'Mixed', 'Club', 'Night', 'VIPROOM', 'Paris', 'InstaSize']","Paris, Ile-de-France,France","Paris, France."
2015-11-21 23:00:04,Travelling to Paris or just twittering about Paris? https://t.co/t8uzWiaOqr #Paris,['Paris'],"Paris, Ile-de-France,France",
2015-11-21 23:00:03,Where is Paris on the map? Play the game at https://t.co/t8uzWiaOqr #Paris,['Paris'],"Paris, Ile-de-France,France",
2015-11-21 23:00:00,"Invaded. #spaceinvader #paris #amoretinparis #installationmag @ Paris, France https://t.co/JKXSLuXAR2","['spaceinvader', 'paris', 'amoretinparis', 'installationmag']","Paris, Ile-de-France,France","Los Angeles, CA"
