createdAt,trend
2015-12-05T02:19:48Z,#Cygnus
2015-12-05T02:19:48Z,#TashfeenMalik
2015-12-05T02:19:48Z,#Reign
2015-12-05T02:19:48Z,#BeemieAwards
2015-12-05T02:19:48Z,#WizSuns
2015-12-05T02:19:48Z,#femsplainactually
2015-12-05T02:19:48Z,#NYKvsBKN
2015-12-05T02:19:48Z,#Saban15
2015-12-05T02:19:48Z,#CabFrancDay
2015-12-05T02:19:48Z,#FuegoFriday
2015-12-05T02:19:48Z,#TeletonUSA
2015-12-05T02:19:48Z,#QuestionableChristmasLists
