createdAt,trend
2015-12-05T11:23:54Z,#earthlawtribunal
2015-12-05T11:23:54Z,#Hoodslam
2015-12-05T11:23:54Z,#RIPChrisCarney
2015-12-05T11:23:54Z,#DelhiOddEvenLogic
2015-12-05T11:23:54Z,#TheWiz
2015-12-05T11:23:54Z,#NationalCookieDay
2015-12-05T11:23:54Z,#BlueNeighbourhood
2015-12-05T11:23:54Z,#TwitterAwakens
2015-12-05T11:23:54Z,#ANTM
2015-12-05T11:23:54Z,#GBvsDET
2015-12-05T11:23:54Z,#MuslimApartment
2015-12-05T11:23:54Z,#TheGameAwards
2015-12-05T11:23:54Z,#NASCARawards
2015-12-05T11:23:54Z,#UndateableLive
2015-12-05T11:23:54Z,#PitMad
2015-12-05T11:23:54Z,#RDFamilyHoliday
2015-12-05T11:28:48Z,#KIISJingleBall
2015-12-05T11:28:48Z,#ICallDibsOn
2015-12-05T11:28:48Z,#ActionDay
2015-12-05T11:28:48Z,#VisionToReality
2015-12-05T11:28:48Z,#SmallBizSatUK
2015-12-05T11:28:48Z,Niall and Selena
2015-12-05T11:28:48Z,Dense Fog Advisory
2015-12-05T11:28:48Z,Page 1
2015-12-05T11:28:48Z,Duval
2015-12-05T11:28:48Z,La Habra
2015-12-05T11:28:48Z,San Bernardino
2015-12-05T11:28:48Z,Scott Weiland
2015-12-05T11:28:48Z,Greinke
2015-12-05T11:28:48Z,Hail Mary
2015-12-05T11:28:48Z,Anthony Davis
2015-12-05T11:28:48Z,Jay Z
2015-12-05T11:28:48Z,Lions
2015-12-05T11:28:48Z,Moments
2015-12-05T11:28:48Z,MSNBC
2015-12-05T11:28:48Z,Aaron Rodgers
2015-12-05T11:28:48Z,Emerald City
2015-12-05T11:28:48Z,#CaliChristmas
2015-12-05T11:28:48Z,#1989TourBrisbane
2015-12-05T11:28:48Z,#N1CanalFiesta49
2015-12-05T11:28:48Z,#KarachiVotesForMQM
2015-12-05T11:28:48Z,#unlvmbb
2015-12-05T11:28:48Z,#ChristmasShoppingAtTheMovies
2015-12-05T11:28:48Z,#Caturday
2015-12-05T11:28:48Z,#ALDUBRendezvous
2015-12-05T11:28:48Z,#ImHornyBecause
2015-12-05T11:28:48Z,#CLEvsNO
2015-12-05T11:28:48Z,#SabadoDeGanarSeguidores
2015-12-05T11:28:48Z,#splatfest
2015-12-05T11:28:48Z,#earthlawtribunal
2015-12-05T11:28:48Z,#Hoodslam
2015-12-05T11:28:48Z,#RIPChrisCarney
2015-12-05T11:28:48Z,#DelhiOddEvenLogic
2015-12-05T11:28:48Z,#TheWiz
2015-12-05T11:28:48Z,#NationalCookieDay
2015-12-05T11:28:48Z,#BlueNeighbourhood
2015-12-05T11:28:48Z,#TwitterAwakens
2015-12-05T11:28:48Z,#ANTM
2015-12-05T11:28:48Z,#GBvsDET
2015-12-05T11:28:48Z,#MuslimApartment
2015-12-05T11:28:48Z,#TheGameAwards
2015-12-05T11:28:48Z,#NASCARawards
2015-12-05T11:28:48Z,#UndateableLive
2015-12-05T11:28:48Z,#PitMad
2015-12-05T11:28:48Z,#RDFamilyHoliday
2015-12-05T11:28:48Z,#Packers
2015-12-05T11:28:48Z,#KIISJingleBall
2015-12-05T11:28:48Z,#ICallDibsOn
2015-12-05T11:28:48Z,#ActionDay
2015-12-05T11:28:48Z,#VisionToReality
2015-12-05T11:28:48Z,#SmallBizSatUK
2015-12-05T11:28:48Z,Niall and Selena
2015-12-05T11:28:48Z,Dense Fog Advisory
2015-12-05T11:28:48Z,Page 1
2015-12-05T11:28:48Z,Duval
2015-12-05T11:28:48Z,La Habra
2015-12-05T11:28:48Z,San Bernardino
2015-12-05T11:28:48Z,Scott Weiland
2015-12-05T11:28:48Z,Greinke
2015-12-05T11:28:48Z,Hail Mary
2015-12-05T11:28:48Z,Anthony Davis
2015-12-05T11:28:48Z,Jay Z
2015-12-05T11:28:48Z,Lions
2015-12-05T11:28:48Z,Moments
2015-12-05T11:28:48Z,MSNBC
2015-12-05T11:28:48Z,Aaron Rodgers
2015-12-05T11:28:48Z,Emerald City
2015-12-05T11:28:48Z,#CaliChristmas
2015-12-05T11:28:48Z,#1989TourBrisbane
2015-12-05T11:28:48Z,#N1CanalFiesta49
2015-12-05T11:28:48Z,#KarachiVotesForMQM
2015-12-05T11:28:48Z,#unlvmbb
2015-12-05T11:28:48Z,#ChristmasShoppingAtTheMovies
2015-12-05T11:28:48Z,#Caturday
2015-12-05T11:28:48Z,#ALDUBRendezvous
2015-12-05T11:28:48Z,#ImHornyBecause
2015-12-05T11:28:48Z,#CLEvsNO
2015-12-05T11:28:48Z,#SabadoDeGanarSeguidores
2015-12-05T11:28:48Z,#splatfest
2015-12-05T11:28:48Z,#earthlawtribunal
2015-12-05T11:28:48Z,#Hoodslam
2015-12-05T11:28:48Z,#RIPChrisCarney
2015-12-05T11:28:48Z,#DelhiOddEvenLogic
2015-12-05T11:28:48Z,#TheWiz
2015-12-05T11:28:48Z,#NationalCookieDay
2015-12-05T11:28:48Z,#BlueNeighbourhood
2015-12-05T11:28:48Z,#TwitterAwakens
2015-12-05T11:28:48Z,#ANTM
2015-12-05T11:28:48Z,#GBvsDET
2015-12-05T11:28:48Z,#MuslimApartment
2015-12-05T11:28:48Z,#TheGameAwards
2015-12-05T11:28:48Z,#NASCARawards
2015-12-05T11:28:48Z,#UndateableLive
2015-12-05T11:28:48Z,#PitMad
2015-12-05T11:28:48Z,#RDFamilyHoliday
2015-12-05T11:28:48Z,#Packers
2015-12-05T11:43:50Z,#KIISJingleBall
2015-12-05T11:43:50Z,#ICallDibsOn
2015-12-05T11:43:50Z,#ActionDay
2015-12-05T11:43:50Z,#SmallBizSatUK
2015-12-05T11:43:50Z,#VisionToReality
2015-12-05T11:43:50Z,Niall and Selena
2015-12-05T11:43:50Z,EU Qualifier
2015-12-05T11:43:50Z,Dense Fog Advisory
2015-12-05T11:43:50Z,Page 1
2015-12-05T11:43:50Z,Duval
2015-12-05T11:43:50Z,La Habra
2015-12-05T11:43:50Z,San Bernardino
2015-12-05T11:43:50Z,Scott Weiland
2015-12-05T11:43:50Z,Greinke
2015-12-05T11:43:50Z,Hail Mary
2015-12-05T11:43:50Z,Anthony Davis
2015-12-05T11:43:50Z,Jay Z
2015-12-05T11:43:50Z,Lions
2015-12-05T11:43:50Z,Moments
2015-12-05T11:43:50Z,MSNBC
2015-12-05T11:43:50Z,Aaron Rodgers
2015-12-05T11:43:50Z,#1989TourBrisbane
2015-12-05T11:43:50Z,#CaliChristmas
2015-12-05T11:43:50Z,#N1CanalFiesta49
2015-12-05T11:43:50Z,#Caturday
2015-12-05T11:43:50Z,#KarachiVotesForMQM
2015-12-05T11:43:50Z,#unlvmbb
2015-12-05T11:43:50Z,#ChristmasShoppingAtTheMovies
2015-12-05T11:43:50Z,#splatfest
2015-12-05T11:43:50Z,#ImHornyBecause
2015-12-05T11:43:50Z,#CLEvsNO
2015-12-05T11:43:50Z,#SabadoDeGanarSeguidores
2015-12-05T11:43:50Z,#earthlawtribunal
2015-12-05T11:43:50Z,#Hoodslam
2015-12-05T11:43:50Z,#RIPChrisCarney
2015-12-05T11:43:50Z,#DelhiOddEvenLogic
2015-12-05T11:43:50Z,#TheWiz
2015-12-05T11:43:50Z,#NationalCookieDay
2015-12-05T11:43:50Z,#BlueNeighbourhood
2015-12-05T11:43:50Z,#TwitterAwakens
2015-12-05T11:43:50Z,#ANTM
2015-12-05T11:43:50Z,#GBvsDET
2015-12-05T11:43:50Z,#MuslimApartment
2015-12-05T11:43:50Z,#TheGameAwards
2015-12-05T11:43:50Z,#NASCARawards
2015-12-05T11:43:50Z,#UndateableLive
2015-12-05T11:43:50Z,#PitMad
2015-12-05T11:43:50Z,#RDFamilyHoliday
2015-12-05T11:43:50Z,#Packers
2015-12-05T11:43:50Z,#Bellator147
2015-12-05T11:48:55Z,#KIISJingleBall
2015-12-05T11:48:55Z,#ICallDibsOn
2015-12-05T11:48:55Z,#ActionDay
2015-12-05T11:48:55Z,#SmallBizSatUK
2015-12-05T11:48:55Z,#VisionToReality
